movie_id,budget,revenue,unit,currency,profit,profit_pct
101,1.00,12.50,Billions,INR,11.50,1150.000000
102,200.00,954.80,Millions,USD,754.80,377.400000
103,165.00,644.80,Millions,USD,479.80,290.787879
104,180.00,854.00,Millions,USD,674.00,374.444444
105,250.00,670.00,Millions,USD,420.00,168.000000
107,400.00,2000.00,Millions,INR,1600.00,400.000000
108,550.00,4000.00,Millions,INR,3450.00,627.272727
109,390.00,1360.00,Millions,INR,970.00,248.717949
110,1.40,3.50,Billions,INR,2.10,150.000000
111,25.00,73.30,Millions,USD,48.30,193.200000
113,165.00,701.80,Millions,USD,536.80,325.333333
114,205.00,365.30,Millions,USD,160.30,78.195122
115,55.00,307.10,Millions,USD,252.10,458.363636
116,103.00,460.50,Millions,USD,357.50,347.087379
117,200.00,2202.00,Millions,USD,2002.00,1001.000000
118,3.18,3.30,Millions,USD,0.12,3.773585
119,237.00,2847.00,Millions,USD,2610.00,1101.265823
120,7.20,291.00,Millions,USD,283.80,3941.666667
121,185.00,1006.00,Millions,USD,821.00,443.783784
122,22.00,322.20,Millions,USD,300.20,1364.545455
123,63.00,1046.00,Millions,USD,983.00,1560.317460
124,15.50,263.10,Millions,USD,247.60,1597.419355
125,400.00,2798.00,Millions,USD,2398.00,599.500000
126,400.00,2048.00,Millions,USD,1648.00,412.000000
127,70000.00,100000.00,Thousands,INR,30000.00,42.857143
128,120.00,1350.00,Millions,INR,1230.00,1025.000000
129,100.00,410.00,Millions,INR,310.00,310.000000
130,850.00,8540.00,Millions,INR,7690.00,904.705882
131,1.00,5.90,Billions,INR,4.90,490.000000
132,2.00,3.60,Billions,INR,1.60,80.000000
133,5.50,12.00,Billions,INR,6.50,118.181818
134,1.80,6.50,Billions,INR,4.70,261.111111
135,250.00,3409.00,Millions,INR,3159.00,1263.600000
136,900.00,11690.00,Millions,INR,10790.00,1198.888889
137,216.70,370.60,Millions,USD,153.90,71.019843
138,177.00,714.40,Millions,USD,537.40,303.615819
139,1.80,3.10,Billions,INR,1.30,72.222222
140,500.00,950.00,Millions,INR,450.00,90.000000
406,30.00,350.00,Millions,INR,320.00,1066.666667
412,160.00,836.80,Millions,USD,676.80,423.000000
